Width	(Fuselage)		
			
0	0		
0.14007974	0.409775785		
0.558451229	0.81955157		
1.254491891	1.229327354		
2.228201726	1.639103139		
3.89670707	2.185470852		
5.704047001	2.731838565		
7.232472605	3.005022422		
8.343771874	3.14161435		
54.0209734	3.14161435		
58.46243501	3.005022422		
61.37671617	2.731838565		
69.42165127	1.092735426		
73.16582707	0.136591928		
			
			
			
			
			
Fuselage	Height		
-0.080312384	-47.94376682	3.8565E-09	
-0.078444654	-47.53399103	0.409775789	
0.340549412	-46.98762332	0.956143502	
0.757675748	-46.85103139	1.09273543	
1.733253313	-46.03147982	1.912286999	
2.985254897	-45.48511211	2.458654712	
4.376091068	-44.93874439	3.005022425	
5.765682086	-44.66556054	3.278206282	
7.294107691	-44.39237668	3.551390138	
8.821910719	-44.25578475	3.687982067	
11.46039044	-44.11919283	3.824573995	
56.72046563	-44.11919283	3.824573995	
59.35770019	-44.25578475	3.687982067	
73.51446998	-45.21192825	2.731838569	
73.51446998	-46.71443946	1.229327358	
58.63800162	-49.85605381	-1.912286992	
57.2484106	-50.12923767	-2.185470848	
54.74876547	-50.2658296	-2.322062776	
7.545006069	-50.2658296	-2.322062776	
5.740779022	-50.12923767	-2.185470848	
4.214843724	-49.85605381	-1.912286992	
2.827743012	-49.58286996	-1.639103135	
1.71893405	-49.17309417	-1.22932735	
0.887171685	-48.89991031	-0.956143494	
0.333078492	-48.62672646	-0.682959637	
			
			
			
Tail			
59.90743535	-45.48511211		
62.55525372	-43.29964126		
71.47988958	-34.69434978		
73.84070012	-34.55775785		
69.34569692	-46.03147982		
			
			
Wings			
24.98960299	0		
46.09183755	30.32340807		
47.89668718	30.32340807		
40.44880306	10.6541704		
40.16241782	8.741883408		
40.12319549	0.136591928		
63.03027968	0		
71.54837301	10.79076233		
73.90856098	10.79076233		
69.97263158	0.136591928		
			
			
			
Nacelle	y	and	length
25.72797886	9.698026906		
31.00369315	9.698026906		
			
			
-0.079689807	-47.80717489		
			
Nacelle	Height		
25.73358205	-49.99264574		
30.87046175	-49.99264574		
